Workbook,Date,0,1,2,3,4,5
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,AUD,15648,15889,16391,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô Úc),15648,15889,16391,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,CAD,17433,17651,18153,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô Canada),17433,17651,18153,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,GBP,29725,30060,30663,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Bảng Anh),29725,30060,30663,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,CHF,23398,23636,24136,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Franc Thụy Sĩ),23398,23636,24136,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,SGD,16852,17020,17422,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô Singapore),16852,17020,17422,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,EUR,25372,25679,26379,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Euro),25372,25679,26379,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,CNY,-,3264,3394,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Nhân dân tệ Trung Quốc),-,3264,3394,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,HKD,-,2848,3048,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Đô Hồng Kông),-,2848,3048,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,THB,738,743,883,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá Bat Thái Lan),738,743,883,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,MYR,-,5578,5730,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(tỷ giá tiền Malaysia),-,5578,5730,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,KRW,-,,23.00,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,( tỷ giá Won Korean),-,,23.00,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,TỶ GIÁ TRUNG TÂM NHNN CÔNG BỐ,TỶ GIÁ TRUNG TÂM NHNN CÔNG BỐ,,23157,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,TỶ GIÁ SÀN/TRẦN USDVND,TỶ GIÁ SÀN/TRẦN USDVND,22462,23852,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,Tỷ giá kỳ hạn USD,,Tham chiếu,Tham chiếu,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,Kỳ hạn (ngày),,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,3,,23116,23244,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,7,,23121,23259,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,30,,23146,23343,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,90,,23213,23562,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,180,,23312,23892,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,360,,23517,24569,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,,Tham chiếu,Tham chiếu,Tham chiếu,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,Tỷ giá vàng,4248000,,4290000,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,03-Jan-20,3 tháng,6 tháng,12 tháng,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,LIBOR USD (%năm):,1.90838,1.91213,1.99625,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,LIBOR EUR (%năm):,-0.41429,-0.37414,-0.26929,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,Tỷ giá được cập nhật lúc 04/01/2020 08:11 AM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 04/01/2020 08:11 AM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 04/01/2020 08:11 AM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 04/01/2020 08:11 AM và chỉ mang tính chất tham khảo.,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200104.csv,04/01/2020,(Nguồn từ Bloomberg),,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,TỶ GIÁ HỐI ĐOÁI,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,Loại tiền,Tỷ giá mua,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,,Tiền mặt/séc,Chuyển khoản,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,"USD, (1,2)",22577,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô la Mỹ),22577,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,"USD, (5,10,20)",22677,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô la Mỹ),22677,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,"USD,50-100",23097,23117,23237,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô la Mỹ),23097,23117,23237,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,JPY,211.46,212.74,218.74,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá đồng Yên Nhật),211.46,212.74,218.74,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,AUD,15662,15903,16406,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô Úc),15662,15903,16406,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,CAD,17448,17667,18168,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô Canada),17448,17667,18168,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,GBP,29838,30174,30777,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Bảng Anh),29838,30174,30777,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,CHF,23455,23694,24196,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Franc Thụy Sĩ),23455,23694,24196,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,SGD,16852,17019,17421,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô Singapore),16852,17019,17421,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,EUR,25454,25762,26462,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Euro),25454,25762,26462,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,CNY,-,3262,3394,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Nhân dân tệ Trung Quốc),-,3262,3394,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,HKD,-,2852,3052,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Đô Hồng Kông),-,2852,3052,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,THB,738,744,884,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá Bat Thái Lan),738,744,884,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,MYR,-,5575,5727,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,(tỷ giá tiền Malaysia),-,5575,5727,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,KRW,-,,23.00,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,( tỷ giá Won Korean),-,,23.00,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,TỶ GIÁ TRUNG TÂM NHNN CÔNG BỐ,TỶ GIÁ TRUNG TÂM NHNN CÔNG BỐ,,23167,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,TỶ GIÁ SÀN/TRẦN USDVND,TỶ GIÁ SÀN/TRẦN USDVND,22472,23862,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,Tỷ giá kỳ hạn USD,,Tham chiếu,Tham chiếu,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,Kỳ hạn (ngày),,Tỷ giá mua,Tỷ giá bán,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,3,,23120,23248,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,7,,23125,23263,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,30,,23150,23347,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,90,,23217,23566,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,180,,23317,23896,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,360,,23522,24573,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,,,,,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,,Tham chiếu,Tham chiếu,Tham chiếu,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,Tỷ giá vàng,4415000,,4467000,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,6-Jan-20,3 tháng,6 tháng,12 tháng,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,LIBOR USD (%năm):,1.87388,1.89288,1.96413,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,LIBOR EUR (%năm):,-0.40986,-0.37157,-0.27129,,
C:\Users\vuongns\Downloads\test_tcb\tcb20200106.csv,06/01/2020,Tỷ giá được cập nhật lúc 06/01/2020 04:41 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 06/01/2020 04:41 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 06/01/2020 04:41 PM và chỉ mang tính chất tham khảo.,Tỷ giá được cập nhật lúc 06/01/2020 04:41 PM và chỉ mang tính chất tham khảo.,,
